# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
2000000 84 10944.000000000004
  14 0.152439 128.798 318.09
  15 0.164634 135.723 317.698
  16 0.176829 124.975 316.378
  17 0.189024 147.422 315.942
  18 0.20122 139.435 315.639
  19 0.213415 127.739 314.475
  20 0.22561 115.676 313.906
  21 0.237805 135.735 313.75
  22 0.25 136.619 313.582
  23 0.262195 129.656 312.196
  24 0.27439 125.922 311.147
  25 0.286585 131.064 310.934
  26 0.29878 127.451 309.038
  27 0.310976 128.255 308.061
  28 0.323171 119.767 306.865
  29 0.335366 131.624 307.171
  30 0.347561 144.886 306.9
  31 0.359756 145.816 305.892
  32 0.371951 131.344 305.233
  33 0.384146 136.01 304.601
  34 0.396341 141.334 304.035
  35 0.408537 136.863 303.546
  36 0.420732 123.037 303.282
  37 0.432927 126.98 302
  38 0.445122 128.983 301.513
  39 0.457317 141.865 300.48
  40 0.469512 149.284 299.719
  41 0.481707 141.998 298.933
  42 0.493902 130.296 299.005
  43 0.506098 124.279 299.056
  44 0.518293 137.105 298.48
  45 0.530488 147.598 297.092
  46 0.542683 131.782 295.546
  47 0.554878 116.846 294.077
  48 0.567073 124.506 293.459
  49 0.579268 142.414 292.862
  50 0.591463 137.189 292.024
  51 0.603659 127.293 291.545
  52 0.615854 126.83 291.08
  53 0.628049 130.099 290.622
  54 0.640244 131.977 289.954
  55 0.652439 123.709 289.213
  56 0.664634 127.49 289.035
  57 0.676829 142.756 288.886
  58 0.689024 143.29 288.877
  59 0.70122 138.627 288.021
  60 0.713415 129.962 287.728
  61 0.72561 141.512 287.868
  62 0.737805 130.418 287.953
  63 0.75 133.149 285.314
  64 0.762195 135.996 283.345
  65 0.77439 129.174 282.436
  66 0.786585 132.24 281.972
  67 0.79878 142.354 282.749
  68 0.810976 148.493 282.118
  69 0.823171 135.053 280.898
  70 0.835366 126.748 279.793
  71 0.847561 131.902 278.566
  72 0.859756 136.445 278.38
  73 0.871951 139.908 278.246
  74 0.884146 122.454 278.03
  75 0.896341 128.414 278.065
  76 0.908537 141.985 74.4302
  77 0.920732 152 0
  78 0.932927 133 0
  79 0.945122 125 0
  80 0.957317 129 0
  81 0.969512 120 0
  82 0.981707 120 0
  83 0.993902 131 0
  84 1.0061 0 0
12000000 84 10944.000000000002
  1 -0.00609756 0 0
  2 0.00609756 143 0
  3 0.0182927 139 0
  4 0.0304878 145 0
  5 0.0426829 128 0
  6 0.054878 132 0
  7 0.0670732 123 0
  8 0.0792683 130.035 0.0881459
  9 0.0914634 130.751 108.962
  10 0.103659 136.295 317.925
  11 0.115854 127.467 317.867
  12 0.128049 145.39 317.929
  13 0.140244 148.497 317.959
  14 0.152439 131.615 317.014
  15 0.164634 134.039 316.865
  16 0.176829 126.684 316.767
  17 0.189024 144.963 316.515
  18 0.20122 135.418 315.616
  19 0.213415 126.863 314.143
  20 0.22561 115.34 313.443
  21 0.237805 134.603 313.226
  22 0.25 143.466 313.256
  23 0.262195 124.565 311.855
  24 0.27439 125.425 309.93
  25 0.286585 129.672 309.072
  26 0.29878 125.525 307.75
  27 0.310976 126.88 307.316
  28 0.323171 118.455 305.989
  29 0.335366 135.713 305.985
  30 0.347561 146.626 305.651
  31 0.359756 143.632 305
